date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:05:44	1482/1482	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Mar%202018%2004:05:45%20GMT	https://ardor-profile.herokuapp.com/en/projects/14.html	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/en/projects/14.html	(from https://ardor-profile.herokuapp.com/)
11:05:44	104927/104927	---M--	200	added ('OK')	image/jpeg	etag:%22199df-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/member/photo/10/medium_27047958476580c1434fc4ea078a830f.jpg	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/member/photo/10/medium_27047958476580c1434fc4ea078a830f.jpg	(from https://ardor-profile.herokuapp.com/)
11:05:45	106926/106926	---M--	200	added ('OK')	image/png	etag:%221a1ae-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/41/medium_af76e1296b7872dacb44f5eb8de7c179.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/41/medium_af76e1296b7872dacb44f5eb8de7c179.png	(from https://ardor-profile.herokuapp.com/)
11:05:45	1482/1482	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Mar%202018%2004:05:46%20GMT	https://ardor-profile.herokuapp.com/en/projects/15.html	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/en/projects/15.html	(from https://ardor-profile.herokuapp.com/)
11:05:45	202049/202049	---M--	200	added ('OK')	image/jpeg	etag:%2231541-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/member/photo/9/medium_2967cd14a6b44ab8dbbb677a6c15e928.jpg	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/member/photo/9/medium_2967cd14a6b44ab8dbbb677a6c15e928.jpg	(from https://ardor-profile.herokuapp.com/)
11:05:46	84606/84606	---M--	200	added ('OK')	image/png	etag:%2214a7e-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/44/medium_9243461aa5a38350cdbf5ee21e25d238.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/44/medium_9243461aa5a38350cdbf5ee21e25d238.png	(from https://ardor-profile.herokuapp.com/)
11:05:46	1482/1482	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Mar%202018%2004:05:47%20GMT	https://ardor-profile.herokuapp.com/en/projects/5.html	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/en/projects/5.html	(from https://ardor-profile.herokuapp.com/)
11:05:46	169159/169159	---M--	200	added ('OK')	image/png	etag:%22294c7-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/44/big_9243461aa5a38350cdbf5ee21e25d238.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/44/big_9243461aa5a38350cdbf5ee21e25d238.png	(from https://ardor-profile.herokuapp.com/)
11:05:47	63105/63105	---M--	200	added ('OK')	image/png	etag:%22f681-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/14/medium_d19e81e8eff655cb9a3a71a7ccf20741.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/14/medium_d19e81e8eff655cb9a3a71a7ccf20741.png	(from https://ardor-profile.herokuapp.com/)
11:05:47	220904/220904	---M--	200	added ('OK')	image/png	etag:%2235ee8-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/41/big_af76e1296b7872dacb44f5eb8de7c179.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/41/big_af76e1296b7872dacb44f5eb8de7c179.png	(from https://ardor-profile.herokuapp.com/)
11:05:47	1482/1482	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Mar%202018%2004:05:48%20GMT	https://ardor-profile.herokuapp.com/en/projects/3.html	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/en/projects/3.html	(from https://ardor-profile.herokuapp.com/)
11:05:48	133318/133318	---M--	200	added ('OK')	image/png	etag:%22208c6-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/14/big_d19e81e8eff655cb9a3a71a7ccf20741.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/14/big_d19e81e8eff655cb9a3a71a7ccf20741.png	(from https://ardor-profile.herokuapp.com/)
11:05:48	1482/1482	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Mar%202018%2004:05:49%20GMT	https://ardor-profile.herokuapp.com/en/projects/9.html	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/en/projects/9.html	(from https://ardor-profile.herokuapp.com/)
11:05:50	94277/94277	---M--	200	added ('OK')	image/png	etag:%2217045-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/26/medium_b73d5289e03179eedaa8a5c5701f3a20.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/26/medium_b73d5289e03179eedaa8a5c5701f3a20.png	(from https://ardor-profile.herokuapp.com/)
11:05:50	445926/445926	---M--	200	added ('OK')	image/png	etag:%226cde6-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/8/medium_3539b51ec040336722c87473aab45dcd.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/8/medium_3539b51ec040336722c87473aab45dcd.png	(from https://ardor-profile.herokuapp.com/)
11:05:50	1482/1482	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Mar%202018%2004:05:51%20GMT	https://ardor-profile.herokuapp.com/en/projects/1.html	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/en/projects/1.html	(from https://ardor-profile.herokuapp.com/)
11:05:50	192199/192199	---M--	200	added ('OK')	image/png	etag:%222eec7-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/26/big_b73d5289e03179eedaa8a5c5701f3a20.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/26/big_b73d5289e03179eedaa8a5c5701f3a20.png	(from https://ardor-profile.herokuapp.com/)
11:05:51	1482/1482	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Mar%202018%2004:05:52%20GMT	https://ardor-profile.herokuapp.com/en/projects/4.html	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/en/projects/4.html	(from https://ardor-profile.herokuapp.com/)
11:05:51	74500/74500	---M--	200	added ('OK')	image/png	etag:%2212304-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/11/medium_4bdc2cbd5f3b6b90e148e6466238c13c.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/11/medium_4bdc2cbd5f3b6b90e148e6466238c13c.png	(from https://ardor-profile.herokuapp.com/)
11:05:52	356151/356151	---M--	200	added ('OK')	image/png	etag:%2256f37-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/4/medium_962cc2afa7c66ad761d9c5b4f5924301.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/4/medium_962cc2afa7c66ad761d9c5b4f5924301.png	(from https://ardor-profile.herokuapp.com/)
11:05:52	150111/150111	---M--	200	added ('OK')	image/png	etag:%2224a5f-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/11/big_4bdc2cbd5f3b6b90e148e6466238c13c.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/11/big_4bdc2cbd5f3b6b90e148e6466238c13c.png	(from https://ardor-profile.herokuapp.com/)
11:05:53	1149546/1149546	---M--	200	added ('OK')	image/png	etag:%22118a6a-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/8/big_3539b51ec040336722c87473aab45dcd.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/8/big_3539b51ec040336722c87473aab45dcd.png	(from https://ardor-profile.herokuapp.com/)
11:05:53	1482/1482	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Mar%202018%2004:05:53%20GMT	https://ardor-profile.herokuapp.com/en/projects/2.html	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/en/projects/2.html	(from https://ardor-profile.herokuapp.com/)
11:05:54	1482/1482	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Mar%202018%2004:05:54%20GMT	https://ardor-profile.herokuapp.com/en/projects/7.html	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/en/projects/7.html	(from https://ardor-profile.herokuapp.com/)
